Team,Seed,% of Points from 2 ,% of Points from 3,% of Points from FT,True Shooting %,3P%,3P Rate,eFG,FT,FTR,Tempo,Effective Possession Ratio,Extra Scoring Chances/game,Non-blocked 2pt %,ORB %,DRB %,TO%,Opp. 3P%,Opp. 3P Rate,Block %,Def. eFG%,Steals per Possession,Opp. Asst./Poss,Opp. TO/poss,Opp. FTA/FGA,Close Game Win %,Win%,Q1W,Q1L,Q2W,Q2L,Q3W,Q3L,Q4W,Q4L,Strength of Schedule 
Xavier,3,0.557,0.274,0.167,1.155,0.389,0.311,0.552,0.710,0.313,73.673,0.950,0.297,0.592,0.289,0.769,0.168,0.358,0.334,0.052,0.502,0.086,0.198,0.159,0.270,0.625,0.735,9,6,4,2,4,1,8,0,25
Gonzaga,3,0.565,0.264,0.170,1.194,0.375,0.325,0.575,0.693,0.341,73.331,0.978,3.750,0.618,0.297,0.769,0.145,0.352,0.390,0.055,0.514,0.094,0.171,0.174,0.260,0.777,0.843,6,4,5,0,8,1,8,0,66
Virginia,4,0.512,0.295,0.192,1.087,0.349,0.356,0.511,0.703,0.347,64.043,0.975,4.151,0.565,0.236,0.776,0.132,0.340,0.400,0.082,0.482,0.106,0.177,0.190,0.263,0.666,0.781,5,5,6,1,5,1,9,0,59
Tennessee,4,0.496,0.325,0.178,1.060,0.328,0.400,0.498,0.707,0.306,67.658,0.991,6.333,0.548,0.354,",755",0.176,0.265,0.417,0.068,0.428,0.121,0.146,0.216,0.337,0.500,0.697,7,7,3,3,6,0,7,0,38
Indiana,4,0.607,0.229,0.163,1.123,0.367,0.266,0.535,0.710,0.294,69.941,0.947,-1.942,0.571,0.262,0.727,0.164,0.334,0.377,0.084,0.471,0.082,0.166,0.159,0.297,0.600,0.666,6,9,6,2,4,0,6,0,13
Uconn,4,0.475,0.345,0.178,1.145,0.362,0.417,0.539,0.760,0.308,70.131,0.980,4.102,0.580,0.373,0.776,0.183,0.297,0.304,0.088,0.444,0.089,0.130,0.180,0.377,0.000,0.757,7,6,6,1,4,1,8,0,16
San Diego State,5,0.521,0.282,0.196,1.059,0.340,0.339,0.493,0.724,0.332,68.349,0.969,3.078,0.529,0.305,0.758,0.168,0.282,0.400,0.070,0.465,0.098,0.153,0.187,0.302,0.909,0.812,5,5,6,1,13,0,2,0,52
Duke,5,0.533,0.283,0.183,1.095,0.335,0.352,0.510,0.766,0.299,67.162,0.980,1.777,0.570,0.348,0.763,0.178,0.306,0.355,0.078,0.461,0.084,0.165,0.161,0.237,0.777,0.764,5,6,7,2,4,0,10,0,43
Miami ,5,0.533,0.285,0.181,1.157,0.368,0.342,0.542,0.784,0.307,70.571,0.971,2.135,0.588,0.300,0.734,0.157,0.334,0.384,0.051,0.511,0.103,0.206,0.177,0.240,0.636,0.781,5,5,6,0,7,1,7,1,41
Saint Mary's,5,0.509,0.315,0.175,1.095,0.361,0.367,0.520,0.693,0.320,65.577,0.975,5.029,0.566,0.305,0.801,0.160,0.333,0.320,0.067,0.470,0.103,0.122,0.188,0.298,0.375,0.781,2,3,7,2,11,2,5,0,89
Creighton,6,0.491,0.338,0.170,1.151,0.353,0.416,0.542,0.783,0.283,70.758,0.940,-2.216,0.599,0.242,0.780,0.163,0.335,0.295,0.065,0.471,0.070,0.167,0.136,0.197,0.300,0.636,3,9,7,2,5,1,6,0,18
Kentucky,6,0.565,0.252,0.182,1.075,0.347,0.299,0.506,0.705,0.319,69.018,1.004,4.617,0.527,0.377,0.781,0.170,0.324,0.355,0.064,0.486,0.093,0.170,0.161,0.299,0.666,0.656,6,7,6,1,3,2,6,1,31
Iowa State,6,0.558,0.283,0.157,1.046,0.331,0.338,0.499,0.670,0.278,67.667,0.955,6.939,0.542,0.318,0.760,0.191,0.337,0.467,0.060,0.498,0.129,0.173,0.244,0.408,0.500,0.593,10,11,2,2,1,0,6,0,3
TCU,6,0.583,0.224,0.192,1.065,0.309,0.298,0.499,0.699,0.340,72.536,0.978,4.742,0.573,0.310,0.717,0.163,0.308,0.350,0.081,0.481,0.110,0.189,0.212,0.300,0.538,0.636,8,11,5,0,0,0,8,1,10
Missouri,7,0.480,0.353,0.166,1.160,0.359,0.432,0.549,0.758,0.290,71.831,0.952,2.485,0.598,0.249,0.643,0.155,0.349,0.442,0.046,0.523,0.141,0.202,0.235,0.341,1.000,0.727,6,9,4,0,6,0,8,0,40
